Series Name,"Series Code","Country Name","Country Code","2016 [YR2016]"
"Population, total","SP.POP.TOTL","Afghanistan","AFG","34636207"
"Population, total","SP.POP.TOTL","Albania","ALB","2876101"
"Population, total","SP.POP.TOTL","Algeria","DZA","40339329"
"Population, total","SP.POP.TOTL","American Samoa","ASM","50448"
"Population, total","SP.POP.TOTL","Andorra","AND","72540"
"Population, total","SP.POP.TOTL","Angola","AGO","29154746"
"Population, total","SP.POP.TOTL","Antigua and Barbuda","ATG","90564"
"Population, total","SP.POP.TOTL","Argentina","ARG","43590368"
"Population, total","SP.POP.TOTL","Armenia","ARM","2865835"
"Population, total","SP.POP.TOTL","Aruba","ABW","104874"
"Population, total","SP.POP.TOTL","Australia","AUS","24190907"
"Population, total","SP.POP.TOTL","Austria","AUT","8736668"
"Population, total","SP.POP.TOTL","Azerbaijan","AZE","9757812"
"Population, total","SP.POP.TOTL","Bahamas, The","BHS","395976"
"Population, total","SP.POP.TOTL","Bahrain","BHR","1409661"
"Population, total","SP.POP.TOTL","Bangladesh","BGD","159784568"
"Population, total","SP.POP.TOTL","Barbados","BRB","278649"
"Population, total","SP.POP.TOTL","Belarus","BLR","9469379"
"Population, total","SP.POP.TOTL","Belgium","BEL","11331422"
"Population, total","SP.POP.TOTL","Belize","BLZ","367313"
"Population, total","SP.POP.TOTL","Benin","BEN","11260085"
"Population, total","SP.POP.TOTL","Bermuda","BMU","64554"
"Population, total","SP.POP.TOTL","Bhutan","BTN","749761"
"Population, total","SP.POP.TOTL","Bolivia","BOL","11263015"
"Population, total","SP.POP.TOTL","Bosnia and Herzegovina","BIH","3480986"
"Population, total","SP.POP.TOTL","Botswana","BWA","2352416"
"Population, total","SP.POP.TOTL","Brazil","BRA","206859578"
"Population, total","SP.POP.TOTL","British Virgin Islands","VGB","29739"
"Population, total","SP.POP.TOTL","Brunei Darussalam","BRN","425994"
"Population, total","SP.POP.TOTL","Bulgaria","BGR","7127822"
"Population, total","SP.POP.TOTL","Burkina Faso","BFA","19275498"
"Population, total","SP.POP.TOTL","Burundi","BDI","10903327"
"Population, total","SP.POP.TOTL","Cabo Verde","CPV","558394"
"Population, total","SP.POP.TOTL","Cambodia","KHM","15624584"
"Population, total","SP.POP.TOTL","Cameroon","CMR","23711630"
"Population, total","SP.POP.TOTL","Canada","CAN","36110803"
"Population, total","SP.POP.TOTL","Cayman Islands","CYM","62255"
"Population, total","SP.POP.TOTL","Central African Republic","CAF","4904177"
"Population, total","SP.POP.TOTL","Chad","TCD","14592585"
"Population, total","SP.POP.TOTL","Channel Islands","CHI","163721"
"Population, total","SP.POP.TOTL","Chile","CHL","18083879"
"Population, total","SP.POP.TOTL","China","CHN","1387790000"
"Population, total","SP.POP.TOTL","Colombia","COL","47625955"
"Population, total","SP.POP.TOTL","Comoros","COM","746232"
"Population, total","SP.POP.TOTL","Congo, Dem. Rep.","COD","81430977"
"Population, total","SP.POP.TOTL","Congo, Rep.","COG","5186824"
"Population, total","SP.POP.TOTL","Costa Rica","CRI","4945205"
"Population, total","SP.POP.TOTL","Cote d'Ivoire","CIV","24213622"
"Population, total","SP.POP.TOTL","Croatia","HRV","4174349"
"Population, total","SP.POP.TOTL","Cuba","CUB","11342012"
"Population, total","SP.POP.TOTL","Curacao","CUW","159664"
"Population, total","SP.POP.TOTL","Cyprus","CYP","1197881"
"Population, total","SP.POP.TOTL","Czechia","CZE","10566332"
"Population, total","SP.POP.TOTL","Denmark","DNK","5728010"
"Population, total","SP.POP.TOTL","Djibouti","DJI","1023261"
"Population, total","SP.POP.TOTL","Dominica","DMA","70075"
"Population, total","SP.POP.TOTL","Dominican Republic","DOM","10527592"
"Population, total","SP.POP.TOTL","Ecuador","ECU","16439585"
"Population, total","SP.POP.TOTL","Egypt, Arab Rep.","EGY","99784030"
"Population, total","SP.POP.TOTL","El Salvador","SLV","6250510"
"Population, total","SP.POP.TOTL","Equatorial Guinea","GNQ","1398927"
"Population, total","SP.POP.TOTL","Eritrea","ERI","3365287"
"Population, total","SP.POP.TOTL","Estonia","EST","1315790"
"Population, total","SP.POP.TOTL","Ethiopia","ETH","105293228"
"Population, total","SP.POP.TOTL","Faroe Islands","FRO","49500"
"Population, total","SP.POP.TOTL","Fiji","FJI","918371"
"Population, total","SP.POP.TOTL","Finland","FIN","5495303"
"Population, total","SP.POP.TOTL","France","FRA","66724104"
"Population, total","SP.POP.TOTL","French Polynesia","PYF","293541"
"Population, total","SP.POP.TOTL","Gabon","GAB","2086206"
"Population, total","SP.POP.TOTL","Gambia, The","GMB","2317206"
"Population, total","SP.POP.TOTL","Georgia","GEO","3727505"
"Population, total","SP.POP.TOTL","Germany","DEU","82348669"
"Population, total","SP.POP.TOTL","Ghana","GHA","29554303"
"Population, total","SP.POP.TOTL","Gibraltar","GIB","32565"
"Population, total","SP.POP.TOTL","Greece","GRC","10775971"
